Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6500982,مذكرات عبد أمريكي,Frederick Douglass,"Douglass, Frederick","فريدريك دوجلاس, إبراهيم عبد المجيد","=""9770920462""","=""""",0,4.05,دار الشروق,,142,2007,1845,,2022/01/15,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
7991025,الصخب والعنف,William Faulkner,"Faulkner, William","ويليام فوكنر, جبرا إبراهيم جبرا","=""4094843052""","=""""",0,3.86,المدى ,Paperback,368,1998,1929,,2021/12/26,to-read,to-read (#362),to-read,,,,0,,,0,,,,,
56923234,موسم الأوقات العالية,ياسر عبد اللطيف,"اللطيف, ياسر عبد",,"=""""","=""""",0,4.00,الكتب خان,,,2021,,,2021/10/17,to-read,to-read (#361),to-read,,,,0,,,0,,,,,
7636215,مرآة 202,مصطفى ذكري,"ذكري, مصطفى",,"=""""","=""""",0,3.49,دار ميريت ,,88,2003,2003,,2021/10/17,to-read,to-read (#360),to-read,,,,0,,,0,,,,,
22607433,إسود وردي,مصطفى ذكري,"ذكري, مصطفى",,"=""""","=""""",0,2.74,الكرمة للنشر,Paperback,269,2014,2014,,2021/10/06,to-read,to-read (#359),to-read,,,,0,,,0,,,,,
35168306,صانست بارك,Paul Auster,"Auster, Paul","سامر أبو هواش, بول أوستر","=""""","=""""",0,3.58,منشورات المتوسط,Paperback,276,2017,2010,,2021/09/23,to-read,to-read (#358),to-read,,,,0,,,0,,,,,
36533051,زمن مستعمل: نهاية الإنسان الأحمر,Svetlana Alexievich,"Alexievich, Svetlana","سفيتلانا ألكسييفيتش, نزار عيون السود","=""""","=""9789933540364""",0,4.45,عن: دار ممدوح عدوان للنشر والتوزيع ,Paperback,608,2018,2013,,2021/09/23,to-read,to-read (#357),to-read,,,,0,,,0,,,,,
40969123,الجين: تاريخ حميم,Siddhartha Mukherjee,"Mukherjee, Siddhartha",إيهاب عبد الحميد,"=""""","=""9786144720332""",0,4.33,دار التنوير,Paperback,630,2018,2016,,2021/09/23,to-read,to-read (#356),to-read,,,,0,,,0,,,,,
58393098,رق الحبيب,محمد المخزنجي,"المخزنجي, محمد",,"=""""","=""""",0,4.07,دار الشروق,Paperback,168,2021,2021,,2021/09/16,to-read,to-read (#355),to-read,,,,0,,,0,,,,,
13486064,الموت بين الأهل نعاس,جبور الدويهي,"الدويهي, جبور",,"=""""","=""9789953742694""",0,2.23,دار النهار للنشر,Paperback,125,2010,1990,,2021/08/01,to-read,to-read (#354),to-read,,,,0,,,0,,,,,
